Bairro,mais de 5 salários,Faixa etária,Densidade
Camargos,10.47,22.7,7075
Lagoinha Leblon,2.27,22.71,11509
Santa Cecilia,1.39,22.72,0
Conjunto Santa Maria,2.83,22.75,17076
Tres Marias,0,22.76,0
Nova Gameleira,10.93,22.79,8108
Palmeiras,5.39,22.84,0
Vila Jardim Alvorada,1.23,22.84,15596
Itaipu,1.92,22.86,11163
São Jorge 3ª Seção,0.59,22.89,0
Marieta 3ª Seção,0,22.89,0
Vila Calafate,0.47,22.9,25190
Vila da Ária,0.38,22.9,0
Vila dos Anjos,0.44,22.92,26065
São Francisco,7.81,22.96,3071
Marçola,1.22,22.97,26650
Vila Olhos D'Água,0.27,23,16830
Nossa Senhora Aparecida,0,23.03,0
Vila Nova Cachoeirinha 1ª Seção,0.47,23.04,0
Vila Santa Rosa,0,23.04,49679
Gameleira,9.49,23.05,323
Independência,01.09,23.06,10379
Paulo VI,1.25,23.06,4836
Vila Cemig,0.21,23.06,21800
Olhos D'Água,1.42,23.08,434
Vila São Gabriel Jacui,01.07,23.09,0
São Jorge 2ª Seção,0.53,23.14,0
Beira Linha,0.5,23.14,0
Vila Nova,0.61,23.17,34765
Ribeiro de Abreu,2.17,23.2,7596
Vila Califórnia,0.24,23.24,30097
Flamengo,0.74,23.25,20500
Novo Santa Cecilia,1.61,23.29,0
Vila Santo Antônio,01.06,23.32,23929
Vila Nova dos Milionarios,0.2,23.36,0
Vila Aeroporto Jaraguá,0.76,23.38,61800
Ventosa,01.02,23.38,32814
Vila Pilar,0,23.39,30333
Lajedo,1.59,23.39,9571
Mariquinhas,0.28,23.41,16389
Vila Madre Gertrudes 1ª Seção,0.9,23.41,0
Acaba Mundo,0.11,23.43,30077
Vila Santa Monica 2ª Seção,0.36,23.49,0
Cruzeiro,41.85,23.49,15337
Vila Mantiqueira,1.17,23.54,17775
Mirtes,0,23.55,26615
Jardim Leblon,3.21,23.6,13175
João Paulo II,05.04,23.6,10861
Boa União 2ª seção,0,23.61,0
Santa Rita de Cássia,2.15,23.61,39239
Mariano de Abreu,01.08,23.62,20708
Brasil Industrial,3.33,23.63,11248
Vila Jardim São José,1.4,23.63,7547
Antonio Ribeiro de Abreu 1ª Seção,0.26,23.65,0
Vila Mangueiras,0.43,23.71,20462
Vila SESC,0.68,23.73,17150
Esperança,0.17,23.73,18186
Nazare,1.95,23.76,0
Grota,2.38,23.81,19500
Engenho Nogueira,9.43,23.82,694
Vila Independencia 2ª Seção,0.38,23.86,0
Estoril,33.37,23.86,2675
Pilar,1.87,23.86,2779
